"filename", "language", "Java", "XML", "CSV", "comment", "blank", "total"
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ExamenMain.class", "Java", 28, 0, 0, 0, 0, 28
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\GestionFicheros.class", "Java", 100, 0, 0, 0, 0, 100
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\PizzasWrapper.class", "Java", 9, 0, 0, 0, 0, 9
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\ProductosWrapper.class", "Java", 7, 0, 0, 0, 0, 7
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\Pruebas.class", "Java", 6, 0, 0, 0, 0, 6
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\ClasesEnDeshuso\Pruebas2.class", "Java", 20, 0, 0, 0, 0, 20
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\MainDePruebas$1.class", "Java", 14, 0, 0, 0, 0, 14
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\MainDePruebas$2.class", "Java", 15, 0, 0, 0, 0, 15
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\MainDePruebas$3.class", "Java", 9, 0, 0, 0, 0, 9
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\MainDePruebas.class", "Java", 63, 0, 0, 0, 0, 63
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Bebida.class", "Java", 10, 0, 0, 0, 0, 10
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Cliente.class", "Java", 25, 0, 0, 0, 0, 25
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\EstadoPedido.class", "Java", 12, 0, 0, 0, 0, 12
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\FormaPago.class", "Java", 10, 0, 0, 0, 0, 10
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Ingrediente.class", "Java", 15, 0, 0, 0, 0, 15
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\LineaPedido.class", "Java", 17, 0, 0, 0, 0, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Pagable.class", "Java", 2, 0, 0, 0, 1, 3
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Pagar.class", "Java", 11, 0, 0, 0, 0, 11
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\PagarEfectivo.class", "Java", 14, 0, 0, 0, 0, 14
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\PagarTarjeta.class", "Java", 14, 0, 0, 0, 0, 14
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Pasta.class", "Java", 17, 0, 0, 0, 0, 17
"c:\Users\rafik\Documents\Clase\ACADT\pizzeria\target\classes\ies\thiar\Modelo\Pedido.class", "Java", 29, 0, 0, 0, 0, 29
